"1","HP Probook 6470B","1. Peso: 2,27 Kg 2. Sistema Operacional: MS-Windows 7 Professional, em português do Brasil; acompanhado de licença de uso. 3. Requisitos ofertados: Microprocessador (com dissipador e cooler adequados) com frequência de 2,6GHz e cache de 3MB L3 com arquitetura quatro núcleos; Processador Intel Core i5-3320M; 04 GB de Memória SDRAM-DDR3- frequência1333MHZ, expansível a 8GB e tela de 14” LED- antirreflexo. 4. Conectores: 04 USB 2.0; 01 RJ-45; 01 Microfone (entrada); 01 Fone de ouvido (saída); 01 Saída VGA para Monitor Externo;01 Conector Displayport; 01 Conector para entrada de Energia - AC power. 5. Unidades de Armazenamento: 01 (uma) unidade de disco rígido, SATA de 500 GB de 7200 rpm; Sistema de proteção de dados: redução da transmissão de impactos e vibração ao disco rígido, durante o uso normal; 01 unidade de DVD+/-RW SATA interna ao gabinete. 6. Acessórios: maleta do mesmo fabricante com todos os cabos de alimentação e interconexão do equipamento; Adaptador AC; Bateria de Íon de Lítio de 6 células com autonomia de até 8h 15 min; mouse óptico USB; possui slot Express Card, Bluetooth, Webcam e Adaptador Displayport HDMI.","3300","Notebook","2019-01-01","2019-01-01"
"2","HP Probook 4320S","Peso: 2,0 Kg. com as seguintes descrição técnica: 1. Requisitos ofertados: - FSB (Front Side Bus) de 1066MHz; Microprocessador (com dissipador e cooler adequados) com frequência de 2,26GHz e cache de 3MB L3 com arquitetura de núcleo duplo; Processador Intel Core i3-350M; 03 GB de Memória SDRAM-DDR3-frequência 1333MHZ, expansível a, no mínimo, 8GB. 2. Conectores: - 03 USB 2.0; 01 RJ-45; 01 RJ-II; 01 Microphone (entrada); 01 Fone de ouvido (saida); 01 Saída VGA para Monitor Externo; 01 Conector Bateria entrada Energia -AC power. 3. Unidades de Armazenamento: - 01 (uma) unidade de disco rígido, Smart SATA de 250 GB nominal e 5400 rpm; Sistema de proteção de dados: redução da transmissão de impactos e vibração ao disco rígido, durante o uso normal; 01 Unidade de DVD/RW integrada ao equipamento. 4. Acessórios: - está acompanhado de maleta do mesmo fabricante com todos os cabos de alimentação e interconexão do equipamento; Cabo de alimentação; Adaptador AC; Cabo do modem; Bateria de Lithium-Ion 6-cell com autonomia de 4,5 horas; possui slot Kensington e Webcam. 5. Sistema Operacional MS-Windows XP Professional pré-instalado, em português do Brasil; acompanhado de licença de uso.","2652","Notebook","2019-01-01","2019-01-01"
"3","HP Probook 4430S","1. Peso: 2,0 Kg 2. Sistema Operacional: MS-Windows 7 Professional pré-instalado, em português do Brasil; acompanhado de licença de uso. 3. Requisitos ofertados: FSB (Front Side Bus) de 1066MHz; Microprocessador (com dissipador e cooler adequados) com frequência de 2,66GHz e cache de 8MB L3 com arquitetura quatro núcleos; Processador Intel Core i5-2540M; 04 GB de Memória SDRAM-DDR3- frequência1333MHZ, expansível a, no mínimo, 8GB e tela de 14”. 4. Conectores: - 03 USB 2.0; 01 USB 3.0; 01 RJ-45; 01 Microfone (entrada); 01 Fone de ouvido (saída); 01 Saída VGA para Monitor Externo; 01 Conector Bateria entrada Energia - AC power. 5. Unidades de Armazenamento: - 01 (uma) unidade de disco rígido, Smart SATA de 320 GB nominal e 5400 rpm; Sistema de proteção de dados: redução da transmissão de impactos e vibração ao disco rígido, durante o uso normal; 01 unidade de Bluray (combo) integrada ao equipamento. 6. Acessórios: - maleta do mesmo fabricante com todos os cabos de alimentação e interconexão do equipamento; Cabo de alimentação; Adaptador AC; Cabo do modem; Bateria de Lithium-Ion 6-cell com autonomia de 4,5 horas; possui slot Kensington e Webcam.","2600","Notebook","2019-01-01","2019-01-01"
"4","HP 450","1. Peso: 2.00 Kg; 2. Sistema Operacional: MS-Windows 8 Professional, em português do Brasil, acompanhado de lincença de uso; 3. Resuisitos Ofertados: Microprocessador (com dissipador e cooler adequados) com frequência de 2,6GHz e cache de 3MB L3 com arquitetura quatro núcleos, Processador Intel Core i5-3320M, 04 GB de Memória SDRAM-DDR3-frequência1333MHZ, expansível a 8GB e tela de 14'' LED-antirreflexo; 4. Conectores: 04 USB 2.0; 01 RJ-45, 01 Microfone (entrada), 01 Fone de ouvido (saída), 01 Saída VGA para Monitor Externo, 01 Conector Displayport, 01 Conector para entrada de Energia - AC power; 5. Unidades de Armazenamento: 01 (uma) unidade de disco rígido, SATA de 500 GB de 7200 rpm, Sistema de proteção de dados, redução da transmissão de impactos e vibração ao disco rígido, durante o uso normal, 01 unidade de DVD+/-RW SATA interna ao gabinete; 6. Acessórios: Maleta do mesmo fabricante com todos os cabos e alimentação e interconexão do equipamento, Adaptador AC, Bateria de Íon de Lítio de 6 células com autonomia de até 8h15min, mouse óptico USB, possúi slot Expressa Card, Bluetooth, Webcam e Adaptador Displayport HDMI","2590","Notebook","2019-01-01","2019-01-01"
"5","Positivo YPY AB10D FNDE","1. Processador: Clock de 1 Ghz; 2. Memória Ram: 1 GB (Um Gigabyte); 3. Tela: LCD de 9,7 polegadas, touch multitoque capacitivo,resolução de 1024 x 768 pixels, formato 4:3; 4. Sistema operacional: Android 4.0, Português Brasil; 5. Armazenamento: 16GB (com possibilidade de expansão de até 32GB com cartão Micro SD Card); 6. Conectividade: a) Rede sem fio IEEE 802.11 b/g/nTM b) BluetoothTM 2.1 + EDR; 7. Câmeras: Frontal VGA e traseira de 2,0MP; 8. Medidas: 242 x 186,1 x 10,8mm (LxAxP); 9. Peso: 606g (sem a capa emborrachada); 10. Acessórios: a) Cabo de dados com conector USB e comprimento de 1,5 metros; b) Carregador Bivolt com seleção automática de voltagem e cabo com 1,5 metros de comprimento; c) Capa para transporte impermeável em cor escura.","458.56","Tablet","2019-01-01","2019-01-01"
